INFO 2019-08-15 02:05:54,820 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2019-08-15 02:05:54,939 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2019-08-15 02:05:54,940 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2019-08-15 02:05:54,941 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2019-08-15 02:05:55,052 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-08-15 02:06:38,093 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
INFO 2019-08-15 02:06:38,152 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2019-08-15 02:06:38,162 basehttp 124 "GET /static/js/host.js HTTP/1.1" 200 80
INFO 2019-08-15 02:06:38,163 basehttp 124 "GET /static/css/main.css HTTP/1.1" 200 39722
INFO 2019-08-15 02:06:38,168 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2019-08-15 02:06:38,173 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 200 7450
INFO 2019-08-15 02:06:38,176 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 19492
INFO 2019-08-15 02:06:38,177 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
WARNING 2019-08-15 02:06:38,249 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-08-15 02:06:38,261 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2019-08-15 02:06:38,262 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2019-08-15 02:06:38,263 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
INFO 2019-08-15 02:07:15,271 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
INFO 2019-08-15 02:07:15,326 basehttp 124 "GET /static/js/host.js HTTP/1.1" 200 80
INFO 2019-08-15 02:07:15,326 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2019-08-15 02:07:15,335 basehttp 124 "GET /static/css/main.css HTTP/1.1" 200 39722
INFO 2019-08-15 02:07:15,337 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2019-08-15 02:07:15,338 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 200 7450
INFO 2019-08-15 02:07:15,340 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 19427
INFO 2019-08-15 02:07:15,341 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2019-08-15 02:07:15,471 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
WARNING 2019-08-15 02:07:15,472 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-08-15 02:07:15,474 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2019-08-15 02:07:15,477 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2019-08-15 02:21:08,155 base 152 Not Found: /image_codes/aaa
WARNING 2019-08-15 02:21:08,160 basehttp 124 "GET /image_codes/aaa HTTP/1.1" 404 2538
INFO 2019-08-15 02:21:33,989 basehttp 124 "GET /image_codes/aaa HTTP/1.1" 301 0
INFO 2019-08-15 02:21:34,059 basehttp 124 "GET /image_codes/aaa/ HTTP/1.1" 200 3666
INFO 2019-08-15 02:23:01,906 basehttp 124 "GET /image_codes/aaa/ HTTP/1.1" 200 3450
INFO 2019-08-15 02:23:27,963 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
INFO 2019-08-15 02:23:27,995 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 19365
INFO 2019-08-15 02:23:27,996 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-08-15 02:23:28,191 basehttp 124 "GET /image_codes/6018838e-ccc4-4b98-a00c-b4f5915bb49d/ HTTP/1.1" 200 3251
INFO 2019-08-15 02:27:26,406 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
INFO 2019-08-15 02:27:26,457 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-08-15 02:27:26,614 basehttp 124 "GET /image_codes/3c197bb1-0ff3-4e51-ab1e-cbd0b00ad212/ HTTP/1.1" 200 3161
INFO 2019-08-15 02:29:26,318 basehttp 124 "GET /register/ HTTP/1.1" 200 4704
INFO 2019-08-15 02:29:26,350 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-08-15 02:29:26,352 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-08-15 02:29:26,574 basehttp 124 "GET /image_codes/de14c105-7cc6-462e-bfea-a5368edc3dad/ HTTP/1.1" 200 3310
INFO 2019-08-15 02:29:28,289 basehttp 124 "GET /image_codes/0cd57734-8cf3-4099-9fba-02a661f501bd/ HTTP/1.1" 200 3311
